ticket_id,created_date,resolved_date,category,priority,channel,product_area,agent_id,first_response_minutes,resolution_minutes,customer_id,csat_score,is_repeat_contact,sla_breached
32,2025-08-03 21:41:35,2025-08-08 15:09:35,Billing,Low,Chat,Dashboard,AGT-006,376,6808,CUST-06073,4,1,0
33,2026-06-21 17:32:21,2026-06-25 07:15:21,Technical,Medium,Phone,Mobile App,AGT-018,446,5143,CUST-01214,2,0,1
34,2025-01-31 23:41:39,2025-02-03 10:13:39,Account,Low,Chat,Login,AGT-012,189,3512,CUST-06391,5,0,0
35,2025-07-03 21:06:13,2025-07-03 22:50:13,Technical,Critical,Chat,API,AGT-001,40,104,CUST-01470,5,0,0
36,2026-07-25 22:27:56,2026-07-29 21:34:56,Technical,Low,Email,API,AGT-002,724,5707,CUST-07034,5,0,0
37,2025-06-26 18:41:14,2025-06-28 00:01:14,Technical,Low,Chat,API,AGT-011,1750,1760,CUST-02283,2,0,1
38,2025-11-07 10:32:42,2025-11-08 18:08:42,Feature Request,Low,Email,Login,AGT-009,5,1896,CUST-01463,2,0,0
39,2025-09-26 12:04:29,2025-09-30 09:37:29,Account,Medium,Email,API,AGT-019,329,5613,CUST-01558,1,0,1
40,2026-02-23 05:28:21,2026-02-26 04:55:21,Technical,Low,Email,Dashboard,AGT-020,892,4287,CUST-02572,5,0,0
41,2026-06-02 23:47:05,2026-06-08 17:35:05,Bug,Low,Phone,Mobile App,AGT-005,107,8268,CUST-01572,3,0,1
42,2026-04-24 02:01:46,2026-04-28 19:36:46,Feature Request,Low,Email,Dashboard,AGT-010,493,6815,CUST-01722,5,0,0
43,2025-12-10 10:27:21,2025-12-11 10:26:21,Technical,Medium,Chat,Login,AGT-010,232,1439,CUST-04223,3,0,0
44,2025-07-02 10:16:04,2025-07-11 14:31:04,Account,Low,Chat,Payments,AGT-001,1023,13215,CUST-00379,4,1,1
45,2025-11-18 21:44:25,2025-11-24 18:59:25,Feature Request,Low,Portal,API,AGT-013,1403,8475,CUST-01999,4,0,1
46,2025-03-24 18:55:52,2025-03-28 02:19:52,Bug,Low,Portal,Login,AGT-018,1198,4764,CUST-02042,3,0,0
47,2026-02-17 13:00:57,2026-02-18 15:13:57,Feature Request,Medium,Portal,Mobile App,AGT-017,423,1573,CUST-03496,5,0,0
48,2026-01-04 16:34:22,2026-01-08 19:28:22,Bug,Low,Chat,Dashboard,AGT-017,1148,5934,CUST-03970,3,1,0
49,2025-07-31 01:08:12,2025-08-07 03:04:12,Account,Low,Email,Payments,AGT-005,823,10196,CUST-01895,1,0,1
50,2025-09-15 00:04:34,2025-09-17 08:24:34,Feature Request,Medium,Email,Payments,AGT-014,493,3380,CUST-03191,3,0,1
51,2026-03-24 03:38:45,2026-03-25 03:29:45,Bug,Medium,Phone,Dashboard,AGT-013,548,1431,CUST-06992,2,0,1
52,2026-04-14 13:26:35,2026-04-17 19:31:35,Technical,Medium,Phone,API,AGT-016,172,4685,CUST-00238,3,0,1
53,2025-12-30 00:47:01,2025-12-30 03:16:01,Technical,Critical,Email,API,AGT-019,38,149,CUST-04624,4,0,0
54,2025-05-22 03:40:28,2025-06-02 01:34:28,Billing,Low,Phone,Payments,AGT-015,543,15714,CUST-02678,2,0,1
55,2025-11-24 10:32:16,2025-11-25 04:31:16,Account,High,Portal,Login,AGT-018,234,1079,CUST-00427,5,0,0
56,2026-05-22 05:35:14,2026-05-23 16:05:14,Billing,High,Chat,Payments,AGT-001,189,2070,CUST-05090,3,0,1
57,2025-06-19 07:09:12,2025-06-22 07:03:12,Bug,Medium,Phone,Payments,AGT-020,559,4314,CUST-04975,3,1,1
58,2025-08-30 14:11:08,2025-09-02 14:08:08,Billing,Medium,Phone,Mobile App,AGT-013,638,4317,CUST-03250,3,0,1
59,2025-07-08 15:02:26,2025-07-11 17:20:26,Billing,Medium,Phone,Mobile App,AGT-004,879,4458,CUST-06523,2,0,1
60,2025-10-15 19:56:30,2025-10-18 03:35:30,Billing,Medium,Phone,Login,AGT-014,182,3339,CUST-06737,4,0,0
61,2025-12-24 02:09:45,2025-12-26 10:56:45,Technical,Medium,Phone,Mobile App,AGT-018,182,3407,CUST-06346,5,0,0
62,2025-07-10 16:21:41,2025-07-17 01:28:41,Billing,Low,Portal,Payments,AGT-015,1025,9187,CUST-04669,1,0,1
63,2025-05-22 05:44:26,2025-05-23 22:35:26,Bug,Low,Phone,Dashboard,AGT-009,275,2451,CUST-07212,4,0,0
64,2025-05-29 09:32:59,2025-06-04 03:12:59,Billing,Low,Portal,API,AGT-018,1037,8260,CUST-06211,3,0,1
65,2025-01-14 09:26:15,2025-01-18 20:07:15,Billing,Low,Portal,Payments,AGT-010,581,6401,CUST-05440,4,0,0
66,2026-03-04 11:59:05,2026-03-11 00:37:05,Account,Low,Portal,Dashboard,AGT-010,1092,9398,CUST-02060,2,0,1
67,2026-06-21 01:34:52,2026-06-24 14:17:52,Technical,Low,Portal,Dashboard,AGT-019,659,5083,CUST-06228,3,0,0
68,2025-06-26 16:35:36,2025-07-02 13:32:36,Account,Low,Email,Mobile App,AGT-005,1720,8457,CUST-02248,2,0,1
69,2026-05-11 10:45:07,2026-05-15 09:51:07,Bug,Low,Email,Mobile App,AGT-010,617,5706,CUST-03846,5,1,0
70,2026-01-07 01:31:03,2026-01-07 17:29:03,Billing,High,Portal,API,AGT-003,151,958,CUST-04727,3,0,0
71,2025-08-24 23:54:16,2025-08-25 01:47:16,Billing,Critical,Email,Mobile App,AGT-014,21,113,CUST-04967,5,0,0
72,2025-12-10 20:55:03,2025-12-11 22:47:03,Account,High,Portal,Dashboard,AGT-019,337,1552,CUST-05088,1,0,1
73,2026-05-01 20:26:43,2026-05-07 07:51:43,Technical,Low,Email,Payments,AGT-008,769,7885,CUST-01424,2,0,1
74,2025-12-31 23:48:12,2026-01-01 10:30:12,Account,Low,Phone,Dashboard,AGT-015,632,642,CUST-00584,5,0,0
75,2026-05-29 13:20:42,2026-06-02 14:45:42,Technical,Medium,Chat,Payments,AGT-009,367,5845,CUST-06772,3,0,1
76,2026-03-19 02:47:18,2026-03-22 15:52:18,Account,Medium,Portal,Dashboard,AGT-013,310,5105,CUST-07723,2,0,1
77,2025-12-02 13:35:52,2025-12-02 23:07:52,Account,Medium,Email,Login,AGT-008,205,572,CUST-07880,4,1,0
78,2026-06-07 04:14:13,2026-06-09 17:27:13,Account,Medium,Chat,API,AGT-017,227,3673,CUST-05338,5,0,0
79,2026-01-17 22:25:59,2026-01-20 13:31:59,Billing,Medium,Portal,Dashboard,AGT-011,403,3786,CUST-05490,4,0,0
80,2026-05-30 15:27:08,2026-06-01 00:42:08,Bug,High,Email,API,AGT-003,251,1995,CUST-02577,3,0,1
81,2025-01-01 21:27:26,2025-01-04 02:51:26,Feature Request,Medium,Email,Payments,AGT-017,214,3204,CUST-02964,4,1,0
82,2025-07-27 10:17:20,2025-07-31 14:58:20,Feature Request,Low,Phone,API,AGT-016,1607,6041,CUST-00995,3,0,1
83,2025-08-30 08:48:08,2025-09-02 02:29:08,Feature Request,Low,Portal,Login,AGT-008,1418,3941,CUST-06893,3,0,0
84,2026-01-23 02:23:33,2026-01-26 16:15:33,Account,Medium,Phone,API,AGT-016,343,5152,CUST-03869,2,0,1
85,2026-01-30 18:17:48,2026-01-31 05:50:48,Technical,High,Phone,API,AGT-011,181,693,CUST-07654,1,0,0
86,2026-04-01 21:18:43,2026-04-02 02:17:43,Feature Request,Critical,Portal,Payments,AGT-015,25,299,CUST-04413,3,0,1
87,2025-09-07 22:21:52,2025-09-08 00:13:52,Technical,Critical,Chat,Mobile App,AGT-013,53,112,CUST-01914,4,0,0
88,2025-10-24 02:39:49,2025-10-24 05:37:49,Bug,Critical,Chat,API,AGT-002,17,178,CUST-01035,5,0,0
89,2025-12-08 23:54:09,2025-12-09 10:02:09,Billing,Medium,Portal,Login,AGT-005,598,608,CUST-03359,1,0,1
90,2025-07-25 20:22:57,2025-07-26 22:41:57,Account,Medium,Portal,Login,AGT-011,254,1579,CUST-06983,5,0,0
91,2026-01-15 00:00:01,2026-01-18 00:19:01,Feature Request,Low,Email,Payments,AGT-010,998,4339,CUST-01864,3,0,0
92,2025-03-20 01:35:26,2025-03-22 10:02:26,Bug,Low,Phone,Login,AGT-002,1110,3387,CUST-02658,4,1,0
93,2026-02-17 13:39:28,2026-02-20 02:54:28,Bug,Medium,Chat,Payments,AGT-006,226,3675,CUST-00647,5,0,0
94,2026-03-29 22:50:12,2026-04-02 21:18:12,Technical,Low,Phone,API,AGT-009,1787,5668,CUST-05463,4,0,1
95,2025-05-03 16:52:44,2025-05-06 12:11:44,Billing,Medium,Phone,Mobile App,AGT-010,825,4039,CUST-05235,2,0,1
96,2025-10-26 19:12:06,2025-11-02 03:37:06,Bug,Low,Portal,Mobile App,AGT-012,817,9145,CUST-04709,1,0,1
97,2025-11-04 10:21:13,2025-11-07 08:48:13,Account,Low,Email,Mobile App,AGT-016,1300,4227,CUST-06823,5,0,0
98,2025-10-01 15:44:19,2025-10-06 13:01:19,Technical,Medium,Phone,Payments,AGT-004,461,7037,CUST-07401,3,1,1
99,2025-10-11 09:30:22,2025-10-18 01:48:22,Technical,Low,Phone,Dashboard,AGT-014,1238,9618,CUST-01439,4,0,1
100,2026-01-25 18:07:56,2026-01-26 01:05:56,Account,High,Phone,API,AGT-010,257,418,CUST-06116,2,1,1
101,2025-06-25 05:45:45,2025-06-25 09:27:45,Bug,Critical,Phone,Login,AGT-013,41,222,CUST-00115,4,0,0
102,2025-07-23 15:02:34,2025-07-30 02:31:34,Feature Request,Low,Phone,Login,AGT-008,2841,9329,CUST-03863,3,0,1
103,2025-06-21 22:35:01,2025-06-26 03:28:01,Billing,Medium,Portal,Dashboard,AGT-014,558,6053,CUST-00956,2,0,1
104,2025-03-17 11:47:24,2025-03-17 17:37:24,Technical,High,Chat,API,AGT-015,111,350,CUST-03040,5,0,0
105,2026-07-19 08:47:23,2026-07-20 00:14:23,Technical,High,Email,API,AGT-020,222,927,CUST-03344,5,0,0
106,2025-12-12 09:43:53,2025-12-13 02:37:53,Technical,High,Email,Dashboard,AGT-018,235,1014,CUST-07387,4,0,0
107,2025-04-05 21:13:19,2025-04-08 08:40:19,Bug,Low,Chat,Mobile App,AGT-001,1081,3567,CUST-00415,3,0,0
108,2025-02-23 06:59:09,2025-03-06 02:28:09,Feature Request,Low,Chat,Payments,AGT-011,1565,15569,CUST-06344,1,0,1
109,2025-04-23 09:10:45,2025-04-25 19:19:45,Technical,Medium,Chat,Login,AGT-001,589,3489,CUST-01080,1,0,1
110,2025-05-16 08:11:04,2025-05-20 19:59:04,Account,Low,Portal,Mobile App,AGT-004,1442,6468,CUST-06109,2,0,1
111,2025-12-18 01:59:30,2025-12-21 11:42:30,Feature Request,Low,Email,Mobile App,AGT-010,940,4903,CUST-03753,5,0,0
112,2025-11-28 02:18:58,2025-11-30 02:27:58,Billing,Medium,Portal,Login,AGT-003,294,2889,CUST-02639,4,0,0
113,2026-03-02 22:06:17,2026-03-07 23:45:17,Account,Low,Phone,API,AGT-017,313,7299,CUST-04960,1,0,1
114,2026-03-05 05:38:00,2026-03-07 19:09:00,Technical,Medium,Chat,API,AGT-011,192,3691,CUST-06779,3,0,0
115,2026-06-01 14:30:33,2026-06-06 05:13:33,Account,Low,Chat,API,AGT-003,1652,6643,CUST-00748,1,0,1
116,2025-04-12 01:31:40,2025-04-13 06:29:40,Feature Request,Low,Phone,Login,AGT-014,1728,1738,CUST-02897,2,0,1
117,2025-02-09 23:01:27,2025-02-13 16:51:27,Account,Medium,Phone,Login,AGT-019,384,5390,CUST-04157,1,1,1
118,2026-03-09 01:32:24,2026-03-13 18:45:24,Account,Low,Phone,Mobile App,AGT-008,507,6793,CUST-06613,5,0,0
119,2026-06-09 06:28:40,2026-06-11 13:56:40,Feature Request,Low,Phone,Login,AGT-006,899,3328,CUST-02239,4,1,0
120,2025-04-22 06:24:04,2025-04-24 16:44:04,Feature Request,Medium,Email,Payments,AGT-001,333,3500,CUST-00752,4,0,0
121,2025-10-15 10:17:22,2025-10-17 08:14:22,Account,Medium,Email,Login,AGT-005,337,2757,CUST-01290,3,0,0
122,2025-11-26 08:12:29,2025-11-28 12:24:29,Bug,Medium,Portal,Dashboard,AGT-007,203,3132,CUST-06185,3,0,0
123,2026-04-06 16:49:25,2026-04-10 00:34:25,Bug,Medium,Phone,Login,AGT-008,576,4785,CUST-03238,1,0,1
124,2025-04-17 14:14:31,2025-04-23 19:13:31,Account,Low,Email,Login,AGT-016,1203,8939,CUST-06120,2,0,1
125,2026-03-10 23:21:43,2026-03-13 01:36:43,Account,Low,Email,API,AGT-001,1764,3015,CUST-03767,3,0,1
126,2026-07-06 02:01:09,2026-07-07 12:44:09,Bug,Low,Portal,Login,AGT-011,1197,2083,CUST-01408,5,0,0
127,2025-03-10 10:51:36,2025-03-11 03:35:36,Bug,High,Chat,API,AGT-019,96,1004,CUST-03281,4,1,0
128,2025-09-16 16:50:56,2025-09-20 23:16:56,Technical,Low,Email,Mobile App,AGT-017,2010,6146,CUST-01589,3,0,1
129,2025-04-25 17:08:17,2025-05-10 12:30:17,Technical,Low,Phone,Payments,AGT-006,2138,21322,CUST-04935,1,0,1
130,2026-05-03 17:48:48,2026-05-05 10:48:48,Bug,Medium,Portal,Mobile App,AGT-020,703,2460,CUST-02648,1,1,1
131,2025-12-10 11:21:20,2025-12-11 13:54:20,Account,High,Email,Dashboard,AGT-017,138,1593,CUST-00608,1,0,1
132,2025-03-01 14:22:10,2025-03-04 05:47:10,Billing,Medium,Portal,API,AGT-019,843,3805,CUST-04541,1,0,1
133,2026-03-21 00:27:10,2026-03-25 01:53:10,Technical,Low,Portal,Mobile App,AGT-005,1194,5846,CUST-07846,5,0,0
134,2026-07-09 19:48:25,2026-07-12 12:08:25,Billing,Medium,Chat,Login,AGT-008,192,3860,CUST-05797,4,0,0
135,2025-10-17 14:27:52,2025-10-21 11:46:52,Account,Low,Phone,Mobile App,AGT-002,1113,5599,CUST-06466,4,0,0
136,2025-10-28 06:04:44,2025-10-28 15:52:44,Account,Low,Chat,Dashboard,AGT-003,510,588,CUST-04774,4,0,0
137,2026-05-30 07:05:38,2026-06-01 19:41:38,Bug,Low,Email,Dashboard,AGT-018,768,3636,CUST-03086,3,0,0
138,2026-07-28 19:45:28,2026-08-02 09:52:28,Feature Request,Low,Portal,Mobile App,AGT-012,830,6607,CUST-00150,3,0,0
139,2026-01-13 16:44:49,2026-01-21 02:08:49,Technical,Low,Chat,Payments,AGT-003,1679,10644,CUST-02424,3,0,1
140,2026-02-13 23:15:39,2026-02-17 21:45:39,Billing,Medium,Chat,Mobile App,AGT-013,478,5670,CUST-01264,3,0,1
141,2025-05-09 13:52:25,2025-05-20 02:50:25,Bug,Low,Phone,Payments,AGT-015,851,15178,CUST-05002,2,0,1
142,2025-08-29 08:53:58,2025-08-30 04:30:58,Bug,High,Chat,Dashboard,AGT-019,111,1177,CUST-03610,4,0,0
143,2025-05-06 20:58:59,2025-05-07 15:57:59,Technical,High,Chat,Dashboard,AGT-002,99,1139,CUST-05253,5,0,0
144,2026-02-05 17:14:52,2026-02-10 22:16:52,Billing,Low,Chat,Dashboard,AGT-015,294,7502,CUST-07417,1,0,1
145,2025-12-17 09:38:06,2025-12-18 09:32:06,Account,High,Portal,Login,AGT-013,118,1434,CUST-04113,3,0,0
146,2025-09-05 12:42:59,2025-09-07 18:06:59,Billing,High,Phone,Payments,AGT-005,136,3204,CUST-00314,3,0,1
147,2026-07-03 00:08:51,2026-07-05 20:08:51,Bug,Medium,Email,Login,AGT-001,353,4080,CUST-02097,5,0,0
148,2025-11-25 18:02:26,2025-11-26 23:59:26,Billing,High,Chat,Dashboard,AGT-004,175,1797,CUST-00392,3,1,1
149,2026-01-24 05:29:31,2026-01-27 20:15:31,Feature Request,Medium,Chat,Payments,AGT-010,470,5206,CUST-03517,3,0,1
150,2026-06-04 00:25:43,2026-06-06 02:57:43,Billing,Medium,Phone,Login,AGT-017,5,3032,CUST-04458,4,0,0
151,2026-01-01 03:57:11,2026-01-02 11:27:11,Billing,Medium,Phone,Dashboard,AGT-001,367,1890,CUST-02926,5,0,0
152,2026-03-28 23:27:50,2026-03-30 03:36:50,Account,Low,Phone,Mobile App,AGT-011,500,1689,CUST-06665,5,0,0
153,2026-01-07 16:28:03,2026-01-09 16:44:03,Technical,High,Email,API,AGT-002,309,2896,CUST-02404,4,0,1
154,2025-08-29 20:14:00,2025-09-01 10:44:00,Feature Request,Low,Portal,Dashboard,AGT-002,793,3750,CUST-06171,5,1,0
155,2026-05-25 07:43:07,2026-05-30 16:35:07,Account,Low,Phone,API,AGT-013,5,7732,CUST-06090,2,0,1
156,2026-06-22 13:05:30,2026-06-28 16:55:30,Bug,Low,Phone,Login,AGT-014,5,8870,CUST-00647,1,1,1
157,2025-03-21 16:33:49,2025-03-25 18:17:49,Billing,Low,Phone,Dashboard,AGT-015,1433,5864,CUST-04937,4,0,0
158,2026-07-19 12:48:08,2026-07-20 20:09:08,Account,Medium,Portal,Dashboard,AGT-002,266,1881,CUST-00615,4,0,0
159,2025-05-05 06:22:07,2025-05-11 12:35:07,Billing,Low,Portal,Login,AGT-005,1062,9013,CUST-00551,2,0,1
160,2025-01-26 03:42:22,2025-01-27 15:01:22,Feature Request,Low,Portal,Dashboard,AGT-012,1054,2119,CUST-03637,4,0,0
161,2026-05-20 12:41:23,2026-05-23 20:20:23,Account,Low,Email,Login,AGT-006,58,4779,CUST-04089,3,0,0
162,2026-07-01 20:12:57,2026-07-06 02:36:57,Bug,Low,Phone,API,AGT-007,1119,6144,CUST-01005,3,0,0
163,2025-03-10 04:32:16,2025-03-11 03:29:16,Account,Medium,Email,Mobile App,AGT-018,554,1377,CUST-02379,3,0,1
164,2026-05-11 07:35:24,2026-05-12 12:57:24,Technical,High,Chat,Login,AGT-007,249,1762,CUST-06489,1,0,1
165,2025-10-14 13:00:09,2025-10-16 13:55:09,Bug,High,Chat,Mobile App,AGT-003,64,2935,CUST-00539,3,0,1
166,2025-11-15 00:23:38,2025-11-17 07:26:38,Feature Request,Low,Phone,Login,AGT-015,839,3303,CUST-03817,5,0,0
167,2026-05-12 22:37:23,2026-05-14 06:14:23,Feature Request,Low,Chat,API,AGT-017,1559,1897,CUST-07461,2,0,1
168,2025-05-06 19:16:58,2025-05-07 16:35:58,Account,High,Chat,Dashboard,AGT-017,161,1279,CUST-07332,3,0,0
169,2025-08-02 04:08:17,2025-08-04 04:54:17,Technical,Medium,Email,Mobile App,AGT-006,413,2926,CUST-04849,5,0,0
170,2026-04-16 00:36:24,2026-04-16 14:01:24,Account,High,Email,Login,AGT-003,285,805,CUST-00373,2,0,1
171,2026-03-21 09:24:37,2026-03-22 22:46:37,Bug,Medium,Email,API,AGT-018,259,2242,CUST-02373,4,0,0
172,2025-11-12 10:06:48,2025-11-16 03:11:48,Account,Medium,Email,Payments,AGT-015,239,5345,CUST-03405,3,0,1
173,2026-07-12 23:15:17,2026-07-16 04:46:17,Account,Medium,Phone,API,AGT-005,208,4651,CUST-06232,2,0,1
174,2025-07-27 18:02:00,2025-08-02 02:39:00,Bug,Low,Email,Login,AGT-010,562,7717,CUST-07745,1,0,1
175,2025-05-05 01:01:02,2025-05-06 05:26:02,Account,High,Phone,Payments,AGT-006,248,1705,CUST-04082,4,0,1
176,2025-03-11 22:38:12,2025-03-15 22:53:12,Bug,Medium,Chat,Payments,AGT-019,447,5775,CUST-02891,3,0,1
177,2026-06-07 08:41:33,2026-06-09 05:05:33,Bug,Low,Email,Login,AGT-014,1523,2664,CUST-01098,3,0,1
178,2025-11-08 03:22:57,2025-11-10 22:40:57,Billing,Medium,Chat,Dashboard,AGT-018,488,4038,CUST-02365,3,0,1
179,2026-04-30 02:03:54,2026-05-03 15:36:54,Feature Request,Low,Email,API,AGT-012,1558,5133,CUST-06512,2,0,1
180,2026-04-13 22:43:24,2026-04-14 08:24:24,Feature Request,Medium,Email,Login,AGT-002,277,581,CUST-01123,4,0,0
181,2026-02-05 09:43:24,2026-02-09 01:10:24,Technical,Low,Phone,Payments,AGT-013,983,5247,CUST-05051,4,0,0
182,2026-02-18 11:32:01,2026-02-21 04:07:01,Bug,Medium,Phone,API,AGT-001,302,3875,CUST-03018,4,1,0
183,2026-07-18 09:01:23,2026-07-19 06:11:23,Billing,Medium,Phone,Mobile App,AGT-019,301,1270,CUST-01865,3,0,0
184,2026-04-27 08:42:45,2026-04-30 00:40:45,Bug,Low,Chat,Login,AGT-019,922,3838,CUST-07768,4,0,0
185,2025-11-17 18:08:03,2025-11-20 21:40:03,Technical,Medium,Portal,Login,AGT-005,369,4532,CUST-04250,3,0,1
186,2025-09-01 16:46:20,2025-09-02 13:57:20,Technical,Medium,Phone,Mobile App,AGT-012,551,1271,CUST-05537,3,0,1
187,2026-04-19 20:39:06,2026-04-28 06:04:06,Bug,Low,Chat,Dashboard,AGT-018,1190,12085,CUST-02446,2,1,1
188,2025-06-10 23:56:17,2025-06-16 13:40:17,Bug,Low,Phone,Mobile App,AGT-009,1475,8024,CUST-02358,2,0,1
189,2025-09-26 01:46:35,2025-09-30 07:13:35,Technical,Low,Phone,Login,AGT-012,696,6087,CUST-07570,4,0,0
190,2026-02-23 07:49:12,2026-02-24 02:41:12,Account,High,Phone,Payments,AGT-004,164,1132,CUST-05044,2,0,0
191,2025-06-25 06:49:27,2025-06-28 04:04:27,Technical,Low,Portal,Dashboard,AGT-016,909,4155,CUST-00824,5,0,0
192,2025-05-03 16:14:06,2025-05-06 17:45:06,Bug,Medium,Portal,API,AGT-007,689,4411,CUST-06193,3,0,1
193,2025-03-11 11:40:07,2025-03-12 13:24:07,Feature Request,Low,Email,Payments,AGT-014,1534,1544,CUST-07228,1,0,1
194,2026-01-20 18:37:30,2026-01-21 10:57:30,Technical,High,Phone,Login,AGT-001,136,980,CUST-02445,5,0,0
195,2026-05-14 02:55:47,2026-05-16 20:27:47,Feature Request,Medium,Chat,Mobile App,AGT-015,360,3932,CUST-02236,3,0,0
196,2025-07-19 19:45:53,2025-07-22 11:41:53,Technical,Low,Phone,Dashboard,AGT-019,1020,3836,CUST-05525,5,0,0
197,2025-11-29 04:57:59,2025-12-03 12:50:59,Feature Request,Low,Portal,Login,AGT-006,5,6233,CUST-01152,1,0,0
198,2025-12-13 23:45:13,2025-12-14 04:04:13,Account,Critical,Phone,Mobile App,AGT-019,40,259,CUST-00094,1,0,1
199,2025-12-28 11:35:29,2025-12-31 10:06:29,Account,Low,Phone,Login,AGT-010,779,4231,CUST-03011,3,0,0
200,2026-04-16 11:47:32,2026-04-20 12:01:32,Account,Medium,Portal,Mobile App,AGT-007,339,5774,CUST-06242,4,1,1
201,2025-12-13 23:59:09,2025-12-14 08:12:09,Feature Request,Medium,Email,Mobile App,AGT-004,483,493,CUST-00506,1,0,1
202,2025-05-08 19:11:41,2025-05-09 11:21:41,Account,High,Portal,Login,AGT-007,140,970,CUST-05873,4,0,0
203,2025-12-19 04:35:26,2025-12-21 21:17:26,Technical,Medium,Portal,Mobile App,AGT-002,82,3882,CUST-04578,5,0,0
204,2025-01-03 08:12:44,2025-01-06 21:42:44,Technical,Medium,Email,API,AGT-012,761,5130,CUST-05738,4,1,1
205,2026-01-02 16:02:42,2026-01-11 11:35:42,Billing,Low,Chat,Payments,AGT-014,2147,12693,CUST-03068,4,0,1
